0;ord;9996.499400;0.314400;10672.714600;4.767900;0.323500;23.072900;6.784400;17.008500
0;inv;19973.159500;0.327500;10612.773200;5.286900;0.358600;21.080500;7.626800;17.011100
0;rdm;28368.647300;0.321100;11399.701000;5.042500;0.357600;22.009600;7.492100;16.699300
1;ord;50126.789000;0.691700;47323.615100;10.866300;0.747200;42.476400;16.444600;33.021500
1;inv;88502.534300;0.986900;48095.405700;13.492200;0.821100;52.626700;21.848300;36.207300
1;rdm;118254.074000;0.681700;44094.002900;11.569300;0.735100;46.975200;14.237000;34.693000
2;ord;93968.748300;0.942700;93954.355100;17.103000;1.010500;70.161900;24.686800;50.653200
2;inv;162808.377600;0.941900;95472.301100;16.729600;0.980700;64.789500;24.869600;48.823800
2;rdm;236983.221500;0.974200;93022.751300;17.034300;1.028900;66.321100;22.155800;50.234700
3;ord;253817.962500;1.588800;257011.541200;26.601600;2.177200;109.051300;40.645400;80.977400
3;inv;440066.810100;1.674600;253166.055000;43.936800;1.591900;138.583400;42.381300;84.817800
3;rdm;636959.794200;1.601300;255656.067300;27.072000;1.562300;108.829800;35.683700;84.048200
4;ord;989051.973700;4.316000;1021561.781200;61.786400;3.307500;222.734100;87.074900;170.780100
4;inv;1773611.251300;6.795700;1021550.983100;60.106600;3.187900;218.670900;82.139100;175.734900
4;rdm;2553059.659500;3.275800;1015638.169500;57.101900;3.127700;217.691000;70.192400;171.300400
